age,race,gender,label
20-29,East Asian,Male,surprise
10-19,White,Male,fear
20-29,White,Female,sad
20-29,White,Male,angry
30-39,White,Male,happy
30-39,White,Male,surprise
20-29,East Asian,Male,angry
30-39,Middle Eastern,Male,angry
20-29,White,Female,fear
20-29,White,Male,surprise
20-29,White,Male,surprise
30-39,White,Male,angry
20-29,East Asian,Female,surprise
20-29,East Asian,Female,sad
30-39,White,Male,disgust
20-29,East Asian,Male,disgust
20-29,East Asian,Male,surprise
10-19,White,Male,fear
20-29,White,Male,fear
40-49,White,Male,angry
20-29,White,Male,sad
20-29,White,Male,fear
20-29,White,Male,sad
40-49,White,Male,happy
20-29,East Asian,Female,surprise
20-29,White,Female,happy
40-49,White,Male,surprise
20-29,White,Female,fear
20-29,White,Male,disgust
30-39,East Asian,Male,angry
30-39,White,Male,disgust
30-39,East Asian,Male,surprise
20-29,White,Female,surprise
20-29,East Asian,Male,disgust
20-29,White,Female,fear
20-29,East Asian,Male,disgust
20-29,East Asian,Male,sad
40-49,White,Male,surprise
20-29,East Asian,Male,sad
20-29,East Asian,Male,happy
10-19,White,Male,sad
20-29,White,Male,angry
20-29,White,Male,happy
20-29,White,Male,surprise
20-29,East Asian,Male,sad
20-29,White,Male,surprise
20-29,White,Male,disgust
20-29,East Asian,Male,fear
30-39,White,Male,surprise
10-19,East Asian,Male,disgust
20-29,White,Female,happy
20-29,White,Male,happy
30-39,East Asian,Male,angry
20-29,East Asian,Male,disgust
30-39,White,Male,surprise
20-29,East Asian,Female,happy
20-29,White,Male,happy
20-29,East Asian,Male,sad
30-39,White,Male,happy
10-19,White,Female,fear
20-29,East Asian,Male,disgust
20-29,White,Male,surprise
20-29,East Asian,Female,surprise
20-29,East Asian,Male,disgust
20-29,East Asian,Female,happy
20-29,East Asian,Male,happy
20-29,East Asian,Male,angry
20-29,East Asian,Male,fear
10-19,White,Male,sad
20-29,East Asian,Male,angry
30-39,White,Male,happy
20-29,East Asian,Female,surprise
20-29,East Asian,Female,happy
20-29,White,Female,happy
30-39,White,Male,fear
30-39,East Asian,Male,happy
20-29,East Asian,Female,disgust
20-29,East Asian,Male,surprise
10-19,White,Female,happy
20-29,White,Male,happy
20-29,East Asian,Male,sad
20-29,East Asian,Female,surprise
20-29,East Asian,Male,disgust
40-49,White,Male,fear
20-29,East Asian,Female,fear
20-29,East Asian,Male,disgust
20-29,East Asian,Male,surprise
20-29,White,Male,sad
20-29,White,Female,surprise
40-49,White,Male,sad
30-39,White,Male,sad
20-29,East Asian,Male,disgust
20-29,East Asian,Male,fear
30-39,Middle Eastern,Male,happy
20-29,White,Male,sad
20-29,East Asian,Male,surprise
20-29,East Asian,Male,surprise
20-29,East Asian,Female,sad
10-19,East Asian,Male,fear
20-29,White,Male,fear
20-29,East Asian,Male,disgust
10-19,White,Male,happy
20-29,East Asian,Male,disgust
20-29,East Asian,Male,disgust
20-29,White,Male,angry
20-29,White,Male,angry
20-29,East Asian,Male,sad
20-29,East Asian,Male,disgust
20-29,East Asian,Male,fear
30-39,White,Male,happy
20-29,White,Female,sad
40-49,White,Female,happy
20-29,White,Male,happy
20-29,East Asian,Female,disgust
20-29,East Asian,Male,happy
40-49,White,Male,angry
20-29,East Asian,Female,surprise
20-29,White,Female,surprise
20-29,East Asian,Female,disgust
40-49,White,Male,sad
20-29,East Asian,Female,disgust
20-29,White,Male,fear
10-19,White,Male,sad
20-29,East Asian,Male,angry
20-29,East Asian,Male,surprise
20-29,East Asian,Male,disgust
40-49,White,Male,angry
20-29,White,Male,angry
40-49,White,Male,sad
20-29,White,Female,disgust
20-29,East Asian,Male,surprise
10-19,White,Female,happy
20-29,East Asian,Female,angry
20-29,White,Male,angry
20-29,White,Female,surprise
20-29,White,Female,fear
20-29,White,Female,sad
20-29,East Asian,Male,disgust
20-29,East Asian,Male,fear
20-29,White,Female,disgust
20-29,East Asian,Male,sad
30-39,White,Male,angry
20-29,East Asian,Male,fear
20-29,East Asian,Male,angry
20-29,East Asian,Male,disgust
20-29,White,Male,fear
20-29,East Asian,Female,fear
20-29,East Asian,Male,fear
20-29,East Asian,Male,angry
30-39,East Asian,Male,surprise
20-29,White,Male,sad
10-19,East Asian,Male,disgust
20-29,East Asian,Male,happy
40-49,White,Male,surprise
20-29,White,Male,surprise
40-49,White,Male,happy
30-39,White,Male,fear
40-49,White,Male,sad
20-29,East Asian,Male,happy
20-29,White,Male,fear
20-29,White,Male,angry
20-29,East Asian,Male,disgust
10-19,White,Female,fear
10-19,White,Female,angry
20-29,East Asian,Male,angry
30-39,White,Male,surprise
30-39,White,Male,disgust
20-29,East Asian,Female,happy
10-19,White,Male,fear
20-29,East Asian,Male,disgust
20-29,White,Male,happy
20-29,East Asian,Female,happy
20-29,White,Male,sad
20-29,East Asian,Female,disgust
20-29,White,Female,fear
20-29,East Asian,Male,happy
30-39,Middle Eastern,Male,surprise
20-29,White,Female,surprise
20-29,East Asian,Male,happy
20-29,East Asian,Male,surprise
20-29,East Asian,Male,sad
20-29,East Asian,Male,happy
10-19,White,Male,sad
20-29,White,Male,angry
40-49,White,Female,disgust
10-19,White,Female,sad
20-29,White,Male,surprise
30-39,White,Male,sad
20-29,White,Male,disgust
30-39,Middle Eastern,Male,fear
20-29,East Asian,Female,fear
20-29,East Asian,Male,surprise
20-29,East Asian,Male,sad
20-29,White,Male,fear
20-29,East Asian,Female,angry
20-29,East Asian,Female,disgust
20-29,East Asian,Male,angry
20-29,East Asian,Male,angry
20-29,East Asian,Male,sad
30-39,East Asian,Male,disgust
20-29,East Asian,Female,surprise
20-29,East Asian,Male,angry
20-29,White,Male,fear
30-39,White,Male,disgust
20-29,East Asian,Male,sad
20-29,East Asian,Female,disgust
20-29,East Asian,Male,angry
20-29,White,Female,angry
20-29,White,Female,happy
20-29,East Asian,Male,fear
20-29,White,Male,happy
20-29,White,Male,angry
10-19,White,Female,surprise
10-19,East Asian,Male,happy
20-29,White,Male,angry
20-29,East Asian,Male,angry
20-29,East Asian,Male,surprise
20-29,White,Female,surprise
20-29,White,Female,fear
10-19,White,Male,fear
20-29,White,Male,happy
20-29,White,Male,disgust
20-29,East Asian,Female,sad
10-19,East Asian,Male,sad
30-39,White,Male,disgust
20-29,White,Female,surprise
20-29,White,Male,sad
20-29,East Asian,Male,sad
10-19,White,Male,happy
20-29,White,Female,fear
10-19,White,Female,happy
20-29,East Asian,Male,angry
20-29,White,Male,disgust
20-29,East Asian,Male,disgust
30-39,White,Male,fear
20-29,White,Male,happy
10-19,White,Female,happy
20-29,East Asian,Male,angry
20-29,East Asian,Male,fear
20-29,East Asian,Female,disgust
20-29,White,Female,sad
20-29,East Asian,Male,sad
20-29,East Asian,Male,surprise
20-29,East Asian,Male,disgust
20-29,East Asian,Female,sad
30-39,White,Male,disgust
20-29,East Asian,Male,disgust
20-29,White,Male,angry
30-39,White,Male,angry
20-29,White,Male,angry
20-29,White,Female,surprise
20-29,White,Male,fear
20-29,East Asian,Female,happy
10-19,White,Male,happy
20-29,White,Male,happy
20-29,East Asian,Female,sad
20-29,White,Male,happy
20-29,White,Female,angry
20-29,East Asian,Male,surprise
20-29,East Asian,Male,fear
20-29,East Asian,Female,sad
30-39,White,Male,fear
20-29,East Asian,Male,happy
30-39,White,Male,angry
20-29,White,Female,disgust
20-29,East Asian,Male,angry
20-29,East Asian,Male,angry
10-19,White,Male,sad
20-29,White,Male,surprise
10-19,White,Female,angry
20-29,East Asian,Male,fear
20-29,East Asian,Female,sad
20-29,East Asian,Male,fear
20-29,White,Male,fear
10-19,White,Male,fear
20-29,White,Male,surprise
20-29,East Asian,Female,happy
20-29,White,Male,disgust
20-29,East Asian,Male,sad
20-29,East Asian,Male,disgust
30-39,White,Male,disgust
20-29,East Asian,Male,happy
20-29,East Asian,Male,surprise
20-29,White,Male,fear
20-29,White,Female,sad
10-19,White,Male,sad
20-29,East Asian,Male,happy
20-29,White,Male,angry
20-29,White,Female,happy
30-39,White,Male,fear
20-29,East Asian,Male,surprise
20-29,White,Male,surprise
30-39,White,Male,fear
20-29,White,Male,disgust
30-39,White,Male,surprise
10-19,White,Female,disgust
20-29,White,Male,angry
20-29,White,Female,angry
20-29,White,Male,fear
30-39,Middle Eastern,Male,surprise
20-29,East Asian,Male,fear
20-29,East Asian,Male,angry
20-29,East Asian,Female,fear
20-29,White,Male,disgust
20-29,East Asian,Male,surprise
10-19,White,Female,happy
20-29,White,Female,happy
20-29,East Asian,Male,happy
20-29,East Asian,Male,fear
20-29,White,Female,fear
30-39,White,Male,happy
20-29,White,Female,angry
20-29,White,Male,angry
20-29,East Asian,Male,surprise
10-19,White,Male,sad
20-29,East Asian,Male,surprise
20-29,East Asian,Male,happy
10-19,White,Female,angry
20-29,East Asian,Male,angry
20-29,White,Male,disgust
40-49,White,Female,sad
20-29,White,Male,happy
20-29,White,Male,angry
20-29,East Asian,Female,surprise
20-29,White,Male,surprise
20-29,East Asian,Female,sad
20-29,White,Female,happy
20-29,East Asian,Male,happy
20-29,East Asian,Female,disgust
20-29,White,Female,surprise
10-19,White,Male,disgust
20-29,East Asian,Male,fear
10-19,White,Male,surprise
20-29,East Asian,Male,happy
10-19,White,Male,happy
20-29,White,Male,angry
20-29,East Asian,Male,fear
20-29,East Asian,Female,disgust
30-39,White,Male,happy
30-39,East Asian,Male,happy
30-39,East Asian,Male,happy
20-29,East Asian,Male,happy
20-29,East Asian,Female,surprise
30-39,White,Male,angry
20-29,White,Female,disgust
20-29,White,Male,happy
30-39,White,Male,fear
20-29,East Asian,Male,disgust
20-29,White,Female,disgust
20-29,White,Male,fear
30-39,Middle Eastern,Male,happy
20-29,White,Male,surprise
20-29,East Asian,Male,angry
30-39,White,Male,sad
30-39,Middle Eastern,Male,disgust
20-29,White,Male,fear
20-29,East Asian,Female,happy
20-29,White,Male,angry
40-49,White,Female,angry
20-29,White,Female,sad
20-29,East Asian,Male,sad
20-29,East Asian,Male,happy
40-49,White,Male,happy
30-39,White,Male,sad
30-39,East Asian,Female,surprise
20-29,White,Female,disgust
30-39,White,Male,sad
10-19,White,Male,happy
20-29,White,Male,sad
20-29,East Asian,Male,surprise
20-29,East Asian,Male,happy
20-29,White,Male,angry
20-29,White,Male,sad
40-49,White,Male,angry
10-19,White,Male,fear
20-29,White,Male,surprise
20-29,East Asian,Male,happy
30-39,East Asian,Male,angry
30-39,Middle Eastern,Male,surprise
30-39,White,Male,sad
30-39,White,Male,happy
20-29,White,Male,surprise
20-29,East Asian,Female,happy
40-49,White,Male,angry
20-29,White,Female,happy
30-39,White,Male,fear
20-29,White,Male,sad
20-29,East Asian,Male,surprise
20-29,East Asian,Male,happy
20-29,White,Male,surprise
20-29,East Asian,Male,angry
20-29,White,Male,fear
20-29,East Asian,Female,surprise
20-29,East Asian,Male,sad
20-29,East Asian,Male,angry
20-29,White,Female,sad
20-29,White,Male,sad
20-29,White,Male,angry
20-29,White,Male,surprise
40-49,White,Male,surprise
20-29,White,Male,angry
30-39,East Asian,Female,angry
40-49,White,Male,fear
10-19,White,Male,surprise
30-39,East Asian,Male,happy
20-29,East Asian,Female,surprise
20-29,White,Male,fear
20-29,East Asian,Female,happy
20-29,White,Male,fear
20-29,East Asian,Male,disgust
30-39,East Asian,Male,surprise
20-29,East Asian,Male,angry
20-29,East Asian,Male,surprise
20-29,White,Male,fear
30-39,White,Male,angry
30-39,White,Male,happy
20-29,East Asian,Male,fear
20-29,White,Male,sad
10-19,White,Female,happy
20-29,White,Male,surprise
30-39,Middle Eastern,Male,happy
30-39,White,Male,sad
20-29,East Asian,Male,fear
20-29,East Asian,Male,happy
10-19,White,Male,surprise
20-29,East Asian,Male,fear
40-49,White,Male,sad
30-39,White,Male,happy
20-29,East Asian,Male,happy
20-29,East Asian,Male,fear
10-19,White,Male,happy
20-29,White,Female,happy
40-49,White,Male,sad
10-19,White,Male,happy
20-29,East Asian,Male,angry
20-29,East Asian,Female,angry
20-29,East Asian,Male,fear
20-29,East Asian,Male,disgust
20-29,White,Male,surprise
20-29,White,Female,surprise
20-29,East Asian,Female,angry
40-49,White,Male,disgust
20-29,White,Male,happy
40-49,White,Male,sad
20-29,East Asian,Female,surprise
30-39,White,Male,surprise
20-29,White,Female,disgust
40-49,White,Female,angry
10-19,White,Male,disgust
20-29,East Asian,Female,happy
20-29,White,Female,sad
20-29,White,Male,fear
20-29,White,Female,sad
20-29,White,Male,surprise
20-29,White,Male,sad
20-29,White,Female,surprise
20-29,White,Female,fear
20-29,White,Female,fear
20-29,White,Male,happy
30-39,White,Male,happy
20-29,East Asian,Male,disgust
30-39,White,Male,angry
20-29,White,Male,sad
20-29,White,Male,happy
20-29,White,Male,disgust
20-29,East Asian,Male,disgust
20-29,White,Female,sad
20-29,White,Male,surprise
40-49,White,Male,sad
10-19,White,Male,happy
20-29,White,Male,angry
20-29,East Asian,Female,sad
30-39,East Asian,Male,sad
20-29,White,Female,surprise
20-29,White,Male,disgust
40-49,White,Male,happy
20-29,White,Male,sad
20-29,White,Female,disgust
30-39,East Asian,Male,happy
20-29,White,Female,fear
20-29,East Asian,Male,fear
30-39,White,Male,fear
10-19,White,Female,angry
20-29,East Asian,Male,disgust
20-29,White,Male,fear
10-19,White,Male,fear
10-19,East Asian,Male,surprise
20-29,East Asian,Male,disgust
10-19,White,Male,surprise
20-29,East Asian,Female,angry
20-29,White,Male,sad
20-29,East Asian,Male,surprise
30-39,White,Male,disgust
20-29,East Asian,Male,surprise
40-49,White,Male,disgust
20-29,White,Female,angry
20-29,East Asian,Female,fear
20-29,White,Female,disgust
30-39,White,Male,happy
20-29,White,Female,angry
10-19,White,Female,fear
20-29,White,Male,disgust
30-39,East Asian,Female,sad
20-29,East Asian,Male,angry
30-39,White,Male,disgust
30-39,White,Male,fear
30-39,White,Male,happy
20-29,East Asian,Male,fear
30-39,White,Male,fear
20-29,White,Male,fear
10-19,White,Male,angry
20-29,White,Female,sad
30-39,Middle Eastern,Male,fear
20-29,East Asian,Male,surprise
20-29,White,Female,fear
30-39,White,Male,fear
20-29,White,Male,angry
30-39,Middle Eastern,Male,angry
20-29,White,Female,disgust
20-29,White,Male,fear
10-19,White,Female,disgust
30-39,White,Male,fear
20-29,East Asian,Male,fear
20-29,White,Male,surprise
20-29,East Asian,Female,happy
20-29,East Asian,Male,surprise
30-39,East Asian,Male,fear
20-29,East Asian,Male,angry
30-39,Middle Eastern,Male,surprise
20-29,East Asian,Male,happy
20-29,East Asian,Female,sad
20-29,White,Male,sad
20-29,East Asian,Female,disgust
20-29,White,Female,angry
20-29,White,Male,sad
20-29,White,Male,angry
40-49,White,Female,fear
40-49,White,Male,happy
20-29,East Asian,Male,fear
30-39,Middle Eastern,Male,happy
20-29,East Asian,Male,disgust
20-29,White,Female,surprise
20-29,East Asian,Male,disgust
20-29,White,Male,fear
20-29,East Asian,Male,disgust
20-29,East Asian,Male,sad
30-39,East Asian,Male,surprise
20-29,White,Male,happy
20-29,East Asian,Male,fear
20-29,East Asian,Male,fear
20-29,East Asian,Male,disgust
30-39,White,Male,fear
10-19,White,Female,angry
30-39,White,Male,happy
20-29,East Asian,Male,angry
20-29,East Asian,Male,angry
20-29,East Asian,Female,angry
30-39,White,Male,disgust
10-19,White,Male,surprise
20-29,White,Male,disgust
20-29,White,Male,disgust
20-29,White,Male,angry
20-29,East Asian,Female,surprise
20-29,East Asian,Female,surprise
40-49,White,Female,angry
10-19,White,Male,disgust
20-29,East Asian,Female,fear
20-29,East Asian,Male,fear
20-29,White,Female,surprise
20-29,East Asian,Male,surprise
20-29,East Asian,Female,sad
20-29,White,Male,surprise
20-29,White,Male,sad
20-29,East Asian,Male,disgust
20-29,East Asian,Male,disgust
20-29,East Asian,Male,happy
20-29,East Asian,Male,surprise
20-29,East Asian,Female,fear
30-39,East Asian,Male,fear
30-39,East Asian,Male,happy
20-29,White,Male,fear
20-29,White,Male,fear
20-29,White,Male,disgust
20-29,East Asian,Male,fear
20-29,White,Female,happy
30-39,White,Male,fear
20-29,East Asian,Male,happy
20-29,White,Female,angry
20-29,East Asian,Male,surprise
20-29,East Asian,Male,fear
10-19,East Asian,Male,fear
40-49,White,Male,happy
10-19,White,Female,happy
40-49,White,Female,disgust
20-29,East Asian,Male,sad
10-19,White,Male,surprise
20-29,East Asian,Male,happy
20-29,White,Male,sad
20-29,East Asian,Male,sad
20-29,East Asian,Female,fear
20-29,East Asian,Male,disgust
20-29,White,Male,surprise
40-49,White,Female,fear
20-29,East Asian,Female,surprise
20-29,White,Male,surprise
20-29,White,Male,angry
30-39,East Asian,Male,angry
20-29,East Asian,Male,surprise
10-19,White,Female,sad
10-19,White,Male,angry
20-29,East Asian,Male,surprise
20-29,White,Male,fear
20-29,East Asian,Male,angry
20-29,White,Male,fear
20-29,East Asian,Male,surprise
20-29,East Asian,Male,angry
30-39,East Asian,Male,sad
20-29,White,Male,sad
20-29,East Asian,Male,happy
20-29,East Asian,Male,disgust
20-29,White,Female,fear
20-29,East Asian,Male,fear
20-29,East Asian,Male,surprise
20-29,White,Male,happy
20-29,White,Male,disgust
30-39,White,Male,disgust
30-39,East Asian,Female,disgust
20-29,White,Female,angry
20-29,White,Male,fear
10-19,White,Female,angry
20-29,White,Female,surprise
10-19,White,Female,surprise
20-29,East Asian,Male,sad
20-29,White,Male,sad
30-39,White,Male,fear
20-29,East Asian,Male,disgust
20-29,East Asian,Male,angry
20-29,East Asian,Male,fear
20-29,White,Female,happy
20-29,White,Male,sad
20-29,White,Male,disgust
20-29,White,Male,surprise
40-49,White,Male,sad
10-19,White,Female,angry
40-49,White,Male,fear
30-39,White,Male,happy
20-29,East Asian,Male,disgust
20-29,East Asian,Male,surprise
20-29,East Asian,Male,happy
20-29,East Asian,Female,angry
20-29,East Asian,Male,angry
20-29,White,Male,fear
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,East Asian,Female,angry
20-29,White,Male,fear
10-19,White,Male,fear
20-29,White,Female,surprise
20-29,White,Male,happy
20-29,East Asian,Male,happy
20-29,White,Male,surprise
30-39,Middle Eastern,Male,sad
20-29,White,Male,angry
30-39,East Asian,Male,surprise
30-39,White,Male,fear
20-29,White,Male,fear
30-39,East Asian,Male,fear
20-29,East Asian,Male,happy
20-29,East Asian,Female,disgust
10-19,White,Male,surprise
20-29,East Asian,Male,angry
20-29,White,Male,surprise
20-29,East Asian,Male,angry
20-29,East Asian,Male,angry
20-29,East Asian,Female,angry
20-29,East Asian,Female,angry
20-29,East Asian,Female,sad
20-29,White,Male,fear
20-29,White,Male,surprise
20-29,White,Female,surprise
20-29,East Asian,Male,fear
30-39,White,Male,sad
20-29,East Asian,Male,disgust
20-29,White,Female,happy
10-19,White,Male,angry
10-19,White,Female,angry
10-19,White,Male,fear
20-29,East Asian,Female,fear
20-29,White,Female,disgust
40-49,White,Female,surprise
20-29,East Asian,Male,sad
20-29,East Asian,Male,disgust
20-29,White,Male,happy
10-19,White,Female,surprise
30-39,Middle Eastern,Male,happy
20-29,East Asian,Male,fear
30-39,Middle Eastern,Male,happy
20-29,East Asian,Male,disgust
20-29,East Asian,Male,angry
30-39,White,Male,disgust
20-29,White,Male,happy
20-29,East Asian,Male,happy
20-29,East Asian,Female,disgust
20-29,White,Female,happy
20-29,East Asian,Male,fear
20-29,East Asian,Male,fear
20-29,White,Male,surprise
20-29,East Asian,Male,surprise
40-49,White,Male,angry
20-29,White,Male,surprise
30-39,East Asian,Male,disgust
20-29,East Asian,Male,disgust
20-29,East Asian,Male,happy
30-39,Middle Eastern,Male,surprise
20-29,East Asian,Male,angry
20-29,White,Male,disgust
10-19,White,Male,happy
20-29,East Asian,Male,sad
30-39,East Asian,Male,happy
20-29,East Asian,Male,sad
20-29,East Asian,Male,sad
20-29,White,Female,happy
20-29,East Asian,Male,fear
20-29,East Asian,Female,surprise
20-29,White,Female,happy
10-19,White,Female,surprise
40-49,White,Male,surprise
20-29,White,Female,sad
30-39,White,Male,fear
20-29,East Asian,Male,disgust
20-29,White,Male,disgust
40-49,White,Male,happy
20-29,East Asian,Male,angry
20-29,White,Male,disgust
20-29,East Asian,Male,surprise
30-39,East Asian,Male,fear
20-29,East Asian,Male,surprise
20-29,White,Female,happy
20-29,White,Female,happy
40-49,White,Male,sad
30-39,White,Male,sad
20-29,White,Male,fear
40-49,White,Female,sad
30-39,White,Male,sad
30-39,White,Male,fear
20-29,East Asian,Male,surprise
20-29,East Asian,Female,fear
10-19,White,Male,happy
20-29,White,Female,happy
20-29,White,Female,fear
40-49,White,Male,angry
20-29,White,Male,happy
20-29,East Asian,Female,happy
20-29,White,Male,surprise
20-29,East Asian,Male,happy
20-29,East Asian,Female,surprise
20-29,White,Female,fear
30-39,White,Male,fear
20-29,East Asian,Male,disgust
20-29,White,Female,angry
20-29,White,Female,angry
30-39,East Asian,Female,angry
20-29,White,Male,angry
20-29,East Asian,Male,sad
30-39,White,Male,fear
40-49,White,Female,happy
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,East Asian,Male,angry
20-29,East Asian,Male,happy
20-29,White,Female,happy
30-39,White,Male,disgust
20-29,East Asian,Male,sad
30-39,East Asian,Male,happy
30-39,White,Male,disgust
20-29,East Asian,Male,angry
20-29,East Asian,Male,sad
20-29,White,Female,angry
20-29,East Asian,Male,angry
30-39,White,Male,surprise
20-29,East Asian,Female,angry
30-39,East Asian,Female,sad
30-39,White,Male,happy
30-39,White,Male,angry
10-19,White,Male,sad
20-29,East Asian,Male,sad
20-29,East Asian,Female,fear
10-19,White,Male,disgust
20-29,East Asian,Female,fear
20-29,East Asian,Male,angry
20-29,White,Female,disgust
20-29,White,Male,surprise
30-39,White,Male,sad
20-29,White,Male,angry
10-19,White,Female,angry
20-29,White,Female,happy
10-19,White,Male,surprise
30-39,East Asian,Male,disgust
20-29,White,Male,fear
20-29,East Asian,Male,disgust
20-29,White,Male,sad
30-39,White,Male,disgust
40-49,White,Male,surprise
20-29,East Asian,Male,angry
20-29,East Asian,Male,surprise
20-29,East Asian,Male,fear
20-29,East Asian,Male,disgust
30-39,East Asian,Male,happy
20-29,White,Female,angry
30-39,White,Male,surprise
20-29,East Asian,Male,happy
30-39,White,Male,fear
40-49,White,Female,fear
40-49,White,Female,happy
20-29,White,Male,fear
20-29,White,Male,fear
20-29,East Asian,Male,surprise
20-29,East Asian,Female,happy
20-29,White,Female,sad
20-29,White,Male,happy
20-29,East Asian,Male,happy
20-29,White,Male,happy
20-29,East Asian,Male,surprise
20-29,East Asian,Male,happy
20-29,White,Female,happy
20-29,East Asian,Male,sad
20-29,East Asian,Male,angry
30-39,Middle Eastern,Male,fear
30-39,East Asian,Male,sad
20-29,White,Female,disgust
20-29,East Asian,Male,fear
20-29,East Asian,Female,fear
20-29,East Asian,Female,surprise
20-29,East Asian,Male,sad
20-29,East Asian,Male,fear
10-19,White,Male,angry
20-29,White,Female,angry
10-19,White,Male,sad
20-29,East Asian,Male,sad
10-19,White,Female,fear
20-29,East Asian,Male,happy
30-39,East Asian,Male,disgust
30-39,White,Male,angry
20-29,East Asian,Male,fear
20-29,East Asian,Female,happy
20-29,East Asian,Male,fear
20-29,East Asian,Female,fear
10-19,White,Male,sad
20-29,East Asian,Male,fear
20-29,White,Male,happy
20-29,East Asian,Male,angry
10-19,East Asian,Male,disgust
10-19,White,Male,angry
20-29,White,Female,disgust
20-29,East Asian,Male,happy
30-39,White,Male,sad
20-29,White,Male,surprise
20-29,East Asian,Male,surprise
20-29,East Asian,Male,sad
10-19,White,Male,happy
20-29,East Asian,Male,fear
10-19,White,Male,happy
20-29,East Asian,Male,fear
20-29,East Asian,Male,fear
20-29,East Asian,Male,happy
30-39,White,Male,sad
10-19,White,Male,happy
10-19,White,Male,angry
30-39,White,Male,surprise
20-29,East Asian,Male,disgust
30-39,East Asian,Female,fear
20-29,East Asian,Male,angry
30-39,White,Male,disgust
20-29,White,Male,disgust
20-29,White,Male,sad
20-29,White,Male,angry
20-29,East Asian,Male,fear
20-29,East Asian,Male,fear
10-19,White,Male,sad
20-29,East Asian,Male,fear
30-39,White,Male,fear
20-29,East Asian,Female,happy
20-29,White,Male,angry
20-29,East Asian,Male,sad
20-29,White,Female,angry
20-29,East Asian,Male,fear
20-29,White,Female,surprise
20-29,White,Male,disgust
30-39,East Asian,Male,fear
20-29,White,Male,fear
20-29,White,Male,surprise
30-39,East Asian,Male,surprise
20-29,White,Female,sad
30-39,White,Male,happy
20-29,White,Male,happy
20-29,East Asian,Male,sad
20-29,East Asian,Male,sad
20-29,East Asian,Female,sad
30-39,East Asian,Male,sad
30-39,East Asian,Male,fear
30-39,East Asian,Male,surprise
30-39,White,Male,fear
20-29,East Asian,Male,sad
30-39,East Asian,Male,angry
30-39,White,Male,angry
20-29,White,Female,angry
20-29,White,Male,sad
20-29,White,Female,happy
20-29,East Asian,Female,angry
20-29,East Asian,Male,fear
30-39,Middle Eastern,Male,disgust
20-29,East Asian,Male,angry
30-39,East Asian,Male,surprise
10-19,White,Male,sad
10-19,White,Male,angry
20-29,White,Female,happy
20-29,East Asian,Male,sad
20-29,White,Male,sad
30-39,White,Male,sad
30-39,White,Male,angry
20-29,White,Male,fear
20-29,White,Female,surprise
20-29,East Asian,Female,sad
40-49,White,Female,angry
30-39,East Asian,Female,fear
30-39,White,Male,disgust
20-29,White,Male,disgust
20-29,White,Male,fear
20-29,East Asian,Male,fear
20-29,East Asian,Male,angry
20-29,East Asian,Male,sad
30-39,Middle Eastern,Male,angry
30-39,White,Male,disgust
40-49,White,Female,disgust
30-39,White,Male,disgust
20-29,White,Male,sad
10-19,White,Male,surprise
20-29,White,Male,disgust
20-29,White,Female,disgust
10-19,White,Male,surprise
40-49,White,Female,sad
20-29,White,Female,sad
20-29,East Asian,Male,sad
10-19,White,Male,angry
20-29,White,Male,sad
20-29,White,Male,sad
20-29,White,Female,happy
10-19,East Asian,Male,surprise
20-29,White,Female,angry
20-29,White,Male,sad
20-29,White,Male,fear
20-29,East Asian,Male,surprise
30-39,White,Male,disgust
30-39,White,Male,sad
30-39,East Asian,Male,angry
10-19,East Asian,Male,sad
10-19,White,Male,surprise
20-29,East Asian,Female,surprise
40-49,White,Female,happy
20-29,East Asian,Female,disgust
20-29,White,Male,happy
30-39,East Asian,Female,angry
20-29,White,Male,disgust
10-19,White,Female,fear
20-29,White,Female,disgust
20-29,East Asian,Male,surprise
20-29,White,Male,fear
30-39,White,Male,angry
20-29,East Asian,Male,fear
20-29,East Asian,Male,sad
20-29,East Asian,Male,happy
20-29,White,Female,disgust
20-29,White,Female,disgust
10-19,White,Male,sad
30-39,White,Male,disgust
30-39,White,Male,sad
20-29,East Asian,Male,happy
40-49,White,Male,happy
20-29,East Asian,Male,happy
20-29,East Asian,Male,surprise
20-29,East Asian,Female,surprise
30-39,East Asian,Male,angry
40-49,White,Male,surprise
20-29,White,Male,sad
20-29,White,Female,angry
20-29,East Asian,Male,fear
20-29,East Asian,Female,sad
20-29,White,Female,angry
10-19,White,Male,fear
20-29,White,Female,happy
20-29,East Asian,Male,fear
20-29,White,Male,happy
10-19,East Asian,Male,happy
20-29,East Asian,Male,sad
10-19,White,Male,fear
10-19,White,Female,disgust
20-29,East Asian,Male,surprise
20-29,East Asian,Female,angry
20-29,East Asian,Male,angry
20-29,White,Male,fear
30-39,East Asian,Male,surprise
10-19,White,Female,angry
30-39,White,Male,fear
20-29,White,Male,happy
20-29,East Asian,Male,sad
10-19,White,Male,sad
20-29,White,Male,surprise
30-39,Middle Eastern,Male,fear
40-49,White,Male,fear
20-29,East Asian,Male,surprise
20-29,East Asian,Female,surprise
20-29,East Asian,Female,disgust
20-29,White,Male,sad
20-29,White,Male,happy
20-29,East Asian,Male,disgust
20-29,White,Male,disgust
20-29,East Asian,Male,sad
20-29,White,Male,happy
20-29,White,Female,disgust
